tract,gsmn_math_g3_2013,,Census Tract,,
16623,2.4685774,,166.23,16623,TRUE
16624,2.8732493,,166.24,16624,TRUE
16625,2.2456861,,166.25,16625,TRUE
16626,2.8732493,,166.26,16626,TRUE
16701,2.2167337,,167.01,16701,TRUE
16703,2.2167337,,167.03,16703,TRUE
16704,2.0744395,,167.04,16704,TRUE
16705,2.0744395,,167.05,16705,TRUE
16802,2.0744395,,168.02,16802,TRUE
16803,2.0744395,,168.03,16803,TRUE
16804,2.0744395,,168.04,16804,TRUE
16902,2.2167337,,169.02,16902,TRUE
16903,2.3747561,,169.03,16903,TRUE
17001,2.356993,,170.01,17001,TRUE
17003,2.5940747,,170.03,17003,TRUE
17004,2.5940747,,170.04,17004,TRUE
17101,2.5940747,,171.01,17101,TRUE
17102,2.356993,,171.02,17102,TRUE
17201,2.5940747,,172.01,17201,TRUE
17202,2.5940747,,172.02,17202,TRUE
17301,2.7317781,,173.01,17301,TRUE
17303,2.7317781,,173.03,17303,TRUE
17304,2.7317781,,173.04,17304,TRUE
17305,2.7317781,,173.05,17305,TRUE
17306,2.7317781,,173.06,17306,TRUE
17400,2.7317781,,174,17400,TRUE
17500,2.7317781,,175,17500,TRUE
17602,2.7317781,,176.02,17602,TRUE
17604,2.7317781,,176.04,17604,TRUE
17605,2.5940747,,176.05,17605,TRUE
17606,2.5940747,,176.06,17606,TRUE
17702,2.7317781,,177.02,17702,TRUE
17703,2.7317781,,177.03,17703,TRUE
17704,2.7317781,,177.04,17704,TRUE
17804,2.7317781,,178.04,17804,TRUE
17805,2.5940747,,178.05,17805,TRUE
17806,2.5940747,,178.06,17806,TRUE
17807,2.7317781,,178.07,17807,TRUE
17808,3.1041505,,178.08,17808,TRUE
17811,2.8771565,,178.11,17811,TRUE
17812,2.7317781,,178.12,17812,TRUE
17813,2.7317781,,178.13,17813,TRUE
17814,2.8771565,,178.14,17814,TRUE
17900,2.5940747,,179,17900,TRUE
18001,2.930299,,180.01,18001,TRUE
18002,2.7317781,,180.02,18002,TRUE
18104,3.1403072,,181.04,18104,TRUE
18105,3.5109453,,181.05,18105,TRUE
18110,3.5109453,,181.1,18110,TRUE
18111,3.5109453,,181.11,18111,TRUE
18118,3.5109453,,181.18,18118,TRUE
